FE,N,Eval,p_target,Iteration,Alg
500199,50,Sphere,0.4,3,cma-es-ppmf-dp-2-pt-0.4
500199,50,Sphere,0.5,3,cma-es-ppmf-dp-2-pt-0.5
500199,50,Sphere,0.6,3,cma-es-ppmf-dp-2-pt-0.6
500199,50,Sphere,0.9,3,cma-es-ppmf-dp-2-pt-0.9
3783,2,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
3751,2,Ellips10,0.2,3,cma-es-ppmf-dp-2-pt-0.2
4215,2,Ellips10,0.3,3,cma-es-ppmf-dp-2-pt-0.3
5359,2,Ellips10,0.4,3,cma-es-ppmf-dp-2-pt-0.4
7887,2,Ellips10,0.5,3,cma-es-ppmf-dp-2-pt-0.5
19127,2,Ellips10,0.6,3,cma-es-ppmf-dp-2-pt-0.6
6183,2,Ellips10,0.9,3,cma-es-ppmf-dp-2-pt-0.9
12699,5,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
13759,5,Ellips10,0.2,3,cma-es-ppmf-dp-2-pt-0.2
15879,5,Ellips10,0.3,3,cma-es-ppmf-dp-2-pt-0.3
20219,5,Ellips10,0.4,3,cma-es-ppmf-dp-2-pt-0.4
28699,5,Ellips10,0.5,3,cma-es-ppmf-dp-2-pt-0.5
48019,5,Ellips10,0.6,3,cma-es-ppmf-dp-2-pt-0.6
14359,5,Ellips10,0.9,3,cma-es-ppmf-dp-2-pt-0.9
43759,10,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
56519,10,Ellips10,0.2,3,cma-es-ppmf-dp-2-pt-0.2
100039,10,Ellips10,0.3,3,cma-es-ppmf-dp-2-pt-0.3
67479,10,Ellips10,0.4,3,cma-es-ppmf-dp-2-pt-0.4
80159,10,Ellips10,0.5,3,cma-es-ppmf-dp-2-pt-0.5
100039,10,Ellips10,0.6,3,cma-es-ppmf-dp-2-pt-0.6
46159,10,Ellips10,0.9,3,cma-es-ppmf-dp-2-pt-0.9
300119,30,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
300119,30,Ellips10,0.2,3,cma-es-ppmf-dp-2-pt-0.2
300119,30,Ellips10,0.3,3,cma-es-ppmf-dp-2-pt-0.3
300119,30,Ellips10,0.4,3,cma-es-ppmf-dp-2-pt-0.4
300119,30,Ellips10,0.5,3,cma-es-ppmf-dp-2-pt-0.5
300119,30,Ellips10,0.6,3,cma-es-ppmf-dp-2-pt-0.6
300119,30,Ellips10,0.9,3,cma-es-ppmf-dp-2-pt-0.9
500199,50,Ellips10,0.1,3,cma-es-ppmf-dp-2-pt-0.1
500199,50,Ellips10,0.2,3,cma-es-ppmf-dp-2-pt-0.2
500199,50,Ellips10,0.3,3,cma-es-ppmf-dp-2-pt-0.3
500199,50,Ellips10,0.4,3,cma-es-ppmf-dp-2-pt-0.4
500199,50,Ellips10,0.5,3,cma-es-ppmf-dp-2-pt-0.5
500199,50,Ellips10,0.6,3,cma-es-ppmf-dp-2-pt-0.6
500199,50,Ellips10,0.9,3,cma-es-ppmf-dp-2-pt-0.9
3759,2,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
4207,2,Ellips100,0.2,3,cma-es-ppmf-dp-2-pt-0.2
4527,2,Ellips100,0.3,3,cma-es-ppmf-dp-2-pt-0.3
5463,2,Ellips100,0.4,3,cma-es-ppmf-dp-2-pt-0.4
8479,2,Ellips100,0.5,3,cma-es-ppmf-dp-2-pt-0.5
16023,2,Ellips100,0.6,3,cma-es-ppmf-dp-2-pt-0.6
5111,2,Ellips100,0.9,3,cma-es-ppmf-dp-2-pt-0.9
12979,5,Ellips100,0.1,3,cma-es-ppmf-dp-2-pt-0.1
