FE,N,Eval,d_param,Iteration,Alg
39919,10,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
40919,10,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
300119,30,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
500199,50,Sphere,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Sphere,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Sphere,1,4,cma-es-ppmf-dp-1-pt-0.1
500199,50,Sphere,10,4,cma-es-ppmf-dp-10-pt-0.1
500199,50,Sphere,100,4,cma-es-ppmf-dp-100-pt-0.1
4239,2,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
3775,2,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
3447,2,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
8095,2,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
8255,2,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
13699,5,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
12479,5,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
12559,5,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
15839,5,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
16539,5,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
42319,10,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
40079,10,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
40439,10,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
33079,10,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
47279,10,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,4,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,4,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,4,cma-es-ppmf-dp-100-pt-0.1
4303,2,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
3823,2,Ellips100,0.1,4,cma-es-ppmf-dp-0.1-pt-0.1
3799,2,Ellips100,1,4,cma-es-ppmf-dp-1-pt-0.1
3223,2,Ellips100,10,4,cma-es-ppmf-dp-10-pt-0.1
12167,2,Ellips100,100,4,cma-es-ppmf-dp-100-pt-0.1
14899,5,Ellips100,0.01,4,cma-es-ppmf-dp-0.01-pt-0.1
