FE,N,Eval,lambda,Iteration,Alg
4039,2,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
6632,2,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
8126,2,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
10024,2,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
13025,2,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
5158,5,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
3926,5,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
5857,5,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
9647,5,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
12942,5,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
16440,5,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
19538,5,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
36035,5,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
6797,10,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
5456,10,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
8786,10,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
14471,10,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
19263,10,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
24861,10,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
28556,10,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
51050,10,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
22450,30,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
24479,30,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
30299,30,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
45224,30,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
52373,30,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
59347,30,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
63626,30,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
107106,30,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
64360,50,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
53600,50,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
67568,50,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
97283,50,Ellips100,200,2,cma-es-ppmf-dp-2-pt-0.1
113175,50,Ellips100,300,2,cma-es-ppmf-dp-2-pt-0.1
133131,50,Ellips100,400,2,cma-es-ppmf-dp-2-pt-0.1
143285,50,Ellips100,500,2,cma-es-ppmf-dp-2-pt-0.1
199198,50,Ellips100,1000,2,cma-es-ppmf-dp-2-pt-0.1
574485,100,Ellips100,10,2,cma-es-ppmf-dp-2-pt-0.1
154376,100,Ellips100,50,2,cma-es-ppmf-dp-2-pt-0.1
213513,100,Ellips100,100,2,cma-es-ppmf-dp-2-pt-0.1
