FE,N,Eval,p_target,d_param,Iteration,Alg
15599,30,Sphere,0.1,2,1,cma-es-ppmf-dp-2-pt-0.1
16559,30,Sphere,0.2,2,1,cma-es-ppmf-dp-2-pt-0.2
16799,30,Sphere,0.3,2,1,cma-es-ppmf-dp-2-pt-0.3
18719,30,Sphere,0.4,2,1,cma-es-ppmf-dp-2-pt-0.4
21959,30,Sphere,0.5,2,1,cma-es-ppmf-dp-2-pt-0.5
51599,30,Sphere,0.6,2,1,cma-es-ppmf-dp-2-pt-0.6
300119,30,Sphere,0.9,2,1,cma-es-ppmf-dp-2-pt-0.9
300119,30,Sphere,0.1,10,1,cma-es-ppmf-dp-10-pt-0.1
300119,30,Sphere,0.2,10,1,cma-es-ppmf-dp-10-pt-0.2
300119,30,Sphere,0.3,10,1,cma-es-ppmf-dp-10-pt-0.3
300119,30,Sphere,0.4,10,1,cma-es-ppmf-dp-10-pt-0.4
300119,30,Sphere,0.5,10,1,cma-es-ppmf-dp-10-pt-0.5
300119,30,Sphere,0.6,10,1,cma-es-ppmf-dp-10-pt-0.6
300119,30,Sphere,0.9,10,1,cma-es-ppmf-dp-10-pt-0.9
300119,30,Sphere,0.1,50,1,cma-es-ppmf-dp-50-pt-0.1
300119,30,Sphere,0.2,50,1,cma-es-ppmf-dp-50-pt-0.2
300119,30,Sphere,0.3,50,1,cma-es-ppmf-dp-50-pt-0.3
300119,30,Sphere,0.4,50,1,cma-es-ppmf-dp-50-pt-0.4
300119,30,Sphere,0.5,50,1,cma-es-ppmf-dp-50-pt-0.5
300119,30,Sphere,0.6,50,1,cma-es-ppmf-dp-50-pt-0.6
300119,30,Sphere,0.9,50,1,cma-es-ppmf-dp-50-pt-0.9
300119,30,Sphere,0.1,100,1,cma-es-ppmf-dp-100-pt-0.1
300119,30,Sphere,0.2,100,1,cma-es-ppmf-dp-100-pt-0.2
300119,30,Sphere,0.3,100,1,cma-es-ppmf-dp-100-pt-0.3
300119,30,Sphere,0.4,100,1,cma-es-ppmf-dp-100-pt-0.4
300119,30,Sphere,0.5,100,1,cma-es-ppmf-dp-100-pt-0.5
300119,30,Sphere,0.6,100,1,cma-es-ppmf-dp-100-pt-0.6
300119,30,Sphere,0.9,100,1,cma-es-ppmf-dp-100-pt-0.9
244799,50,Sphere,0.1,0.1,1,cma-es-ppmf-dp-0.1-pt-0.1
134599,50,Sphere,0.2,0.1,1,cma-es-ppmf-dp-0.1-pt-0.2
89199,50,Sphere,0.3,0.1,1,cma-es-ppmf-dp-0.1-pt-0.3
63599,50,Sphere,0.4,0.1,1,cma-es-ppmf-dp-0.1-pt-0.4
48799,50,Sphere,0.5,0.1,1,cma-es-ppmf-dp-0.1-pt-0.5
50599,50,Sphere,0.6,0.1,1,cma-es-ppmf-dp-0.1-pt-0.6
320599,50,Sphere,0.9,0.1,1,cma-es-ppmf-dp-0.1-pt-0.9
110599,50,Sphere,0.1,0.3,1,cma-es-ppmf-dp-0.3-pt-0.1
58399,50,Sphere,0.2,0.3,1,cma-es-ppmf-dp-0.3-pt-0.2
38799,50,Sphere,0.3,0.3,1,cma-es-ppmf-dp-0.3-pt-0.3
